date,REGION_N,num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
2019-01-16,EAST REGION,1661,4534,24343
2019-01-16,NORTH REGION,451,939,16174
2019-01-16,NORTH-EAST REGION,551,1563,4751
2019-01-16,WEST REGION,576,2761,9703
2019-01-18,CENTRAL REGION,45,134,570
2019-01-18,EAST REGION,333,287,3777
2019-01-18,NORTH REGION,20,26,50
2019-01-18,NORTH-EAST REGION,225,427,2825
2019-01-18,WEST REGION,218,432,8515
2019-01-19,CENTRAL REGION,413,1247,4840
2019-01-19,EAST REGION,395,897,4171
2019-01-19,NORTH REGION,532,1728,16774
2019-01-19,NORTH-EAST REGION,156,394,859
2019-01-19,WEST REGION,127,395,911
2019-01-20,CENTRAL REGION,421,895,6721
2019-01-20,EAST REGION,551,965,5185
2019-01-20,NORTH REGION,47,80,169
2019-01-20,NORTH-EAST REGION,921,1345,14262
2019-01-20,WEST REGION,551,1064,21272
2019-01-21,CENTRAL REGION,44,63,183
2019-01-21,EAST REGION,311,1098,6015
2019-01-21,NORTH REGION,44,125,220
2019-01-21,NORTH-EAST REGION,51,86,310
2019-01-21,WEST REGION,124,209,840
2019-01-22,CENTRAL REGION,156,455,1082
2019-01-22,EAST REGION,425,1351,4033
2019-01-22,NORTH REGION,319,2034,6246
2019-01-22,NORTH-EAST REGION,472,1821,4459
2019-01-22,WEST REGION,433,2368,13727
2019-01-23,CENTRAL REGION,767,1354,10359
2019-01-23,EAST REGION,539,966,4724
2019-01-23,NORTH REGION,145,391,850
2019-01-23,NORTH-EAST REGION,412,762,4582
2019-01-23,WEST REGION,326,1402,5535
2019-01-25,CENTRAL REGION,50,96,475
2019-01-25,EAST REGION,188,439,1620
2019-01-25,NORTH REGION,17,20,32
2019-01-25,NORTH-EAST REGION,207,567,2178
2019-01-25,WEST REGION,212,214,8718
2019-01-26,CENTRAL REGION,1229,3291,15793
2019-01-26,EAST REGION,1270,4244,17618
2019-01-26,NORTH REGION,602,1841,20444
2019-01-26,NORTH-EAST REGION,375,1274,2396
